"conc","patrilineal","ageb","age15","age20","age25","age30","age35","age40","yearbirth10","yearbirth1920","yearbirth1930","yearbirth1940","yearbirth1950","yearbirth1960","yearbirth1970","yearbirth1980","mi_job","highestgrade","bly","pcom","pcode","uid"
0,0,"40",0,0,0,0,0,1,"1950",0,0,0,1,0,0,0,0,0,0,"P0000","4h","FSIM"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P1100","4m","518R"
0,0,"20",0,1,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","8UPU"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","BNQA"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P1110","4m","FEJT"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P","","J4DF"
0,0,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P1110","4m","4Q81"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","HPBX"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","K9NI"
1,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P1","1","6C88"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","6ZLL"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","KOQ6"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P110","3m","24O5"
0,0,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P100","3m","XFP5"
